id;campus_id;nom;prenom;telephone;mail;mot_passe;actif;photo_profil;pseudo;roles
1;1;gator;ali;102030405;aligator@email.fr;$argon2id$v=19$m=65536,t=4,p=1$akVERUdUZHpEb1JHWGQwbw$0FDTXiFBT9KUuiHbZ9aTEvgU6A4Oc3KqNY88nQ3z+7w;1;150.png;aligator;"[""ROLE_USER""]"
2;1;tar;gui;606060607;guitar@email.com;$argon2id$v=19$m=65536,t=4,p=1$amptZUkyZUwwOFczRFhZMA$ZzLrksko9bUMStPrIRRnnvntoxoEv+ZkMyxMDivuxSY;1;150.png;guitar;"[""ROLE_USER""]"
3;2;gator1;ali1;606060606;aligator1@email.fr;$argon2id$v=19$m=65536,t=4,p=1$ZXZmcUlPcnpWc1hhSHNnZw$u3h3ISPgkI2c+ym7K9B6ylf+t9235npOUHFDvv4eOSk;1;150.png;aligator1;"[""ROLE_USER""]"
4;2;bla2;bla;606060605;blabla@email.com;$argon2id$v=19$m=65536,t=4,p=1$SVBpa28uamcud2ZHSEZ1dQ$lt+tYFomqSsYEeqL6DhwHoo7aBpp48l3ePfNchKF6mE;1;150.png;blabla;"[""ROLE_ADMIN""]"
5;3;tar;ali2;606060604;aligatorr@email.fr;$argon2id$v=19$m=65536,t=4,p=1$akVERUdUZHpEb1JHWGQwbw$0FDTXiFBT9KUuiHbZ9aTEvgU6A4Oc3KqNY88nQ3z+7w;1;150.png;aligator2;"[""ROLE_USER""]"
6;4;gator2;bla;606060603;guiitar@email.com;$argon2id$v=19$m=65536,t=4,p=1$amptZUkyZUwwOFczRFhZMA$ZzLrksko9bUMStPrIRRnnvntoxoEv+ZkMyxMDivuxSY;1;150.png;guitar1;"[""ROLE_USER""]"
7;2;bla3;ali3;606060602;aligator12@email.fr;$argon2id$v=19$m=65536,t=4,p=1$ZXZmcUlPcnpWc1hhSHNnZw$u3h3ISPgkI2c+ym7K9B6ylf+t9235npOUHFDvv4eOSk;1;150.png;aligator3;"[""ROLE_USER""]"
8;3;tar;bla;606060601;blaaabla@email.com;$argon2id$v=19$m=65536,t=4,p=1$SVBpa28uamcud2ZHSEZ1dQ$lt+tYFomqSsYEeqL6DhwHoo7aBpp48l3ePfNchKF6mE;1;150.png;blabla1;"[""ROLE_USER""]"
9;1;gator3;ali4;606060600;aliigator@email.fr;$argon2id$v=19$m=65536,t=4,p=1$akVERUdUZHpEb1JHWGQwbw$0FDTXiFBT9KUuiHbZ9aTEvgU6A4Oc3KqNY88nQ3z+7w;1;150.png;aligator4;"[""ROLE_USER""]"
10;1;bla4;bla;606060599;guiitar@email.com;$argon2id$v=19$m=65536,t=4,p=1$amptZUkyZUwwOFczRFhZMA$ZzLrksko9bUMStPrIRRnnvntoxoEv+ZkMyxMDivuxSY;1;150.png;guitar2;"[""ROLE_USER""]"
11;4;tar;ali5;606060598;aligaator1@email.fr;$argon2id$v=19$m=65536,t=4,p=1$ZXZmcUlPcnpWc1hhSHNnZw$u3h3ISPgkI2c+ym7K9B6ylf+t9235npOUHFDvv4eOSk;1;150.png;aligator5;"[""ROLE_USER""]"
